iter	RMSE
0	1056.390135
1	1009.027858
2	964.4342929
3	922.0568721
4	882.0366914
5	844.2959846
6	808.6252397
7	774.710689
8	742.6530184
9	712.417315
10	683.6628067
11	656.5805973
12	630.8358736
13	606.5496036
14	583.8371099
15	562.316507
16	542.1679685
17	523.0546139
18	505.2696102
19	488.21613
20	472.5148205
21	457.6131828
22	443.7007647
23	430.6355904
24	418.2348985
25	406.6105208
26	395.7863224
27	385.6801276
28	375.8568101
29	367.0407893
30	358.4443868
31	350.6683332
32	343.0010043
33	336.2723741
34	329.8289348
35	323.5440106
36	317.8632508
37	312.5758499
38	307.7426277
39	302.9818655
40	298.5267102
41	294.3903294
42	290.5461665
43	287.1415085
44	283.8234733
45	280.5924853
46	277.8491485
47	275.0377069
48	272.3892463
49	269.8956527
50	267.5625947
51	265.4078446
52	263.4671864
53	261.5770782
54	259.8319247
55	258.2093232
56	256.8635139
57	255.5387962
58	254.1859417
59	252.858704
60	251.6464809
61	250.5628978
62	249.3527978
63	248.3961408
64	247.3495052
65	246.4305653
66	245.5437392
67	244.6321208
68	243.8865234
69	243.1818481
70	242.361951
71	241.5660672
72	240.8909889
73	240.2748487
74	239.7771497
75	239.0031874
76	238.3876619
77	237.7796528
78	237.3378751
79	236.8311384
80	236.5602799
81	235.8061212
82	235.2539861
83	234.6792124
84	234.104169
85	233.5340962
86	233.0396514
87	232.5542798
88	232.0070917
89	231.5448373
90	231.1337556
91	230.7435238
92	230.3851004
93	229.8671227
94	229.5374168
95	229.0729502
96	228.4690337
97	228.1324118
98	227.5826276
99	227.1524541
100	226.807253
101	226.5703659
102	226.2653939
103	225.8276174
104	225.4939432
105	225.2929968
106	225.0246623
107	224.6163243
108	223.9793163
109	223.7056905
110	223.3898828
111	223.1952437
