iter	Passed	Remaining
0	1014	506296
1	1987	494816
2	2851	472379
3	3816	473194
4	4636	458967
5	5341	439781
6	6246	439947
7	7191	442269
8	7887	430293
9	8664	424570
10	9488	421801
11	10390	422558
12	11213	420070
13	11964	415324
14	12844	415293
15	13597	411319
16	14409	409407
17	15208	407241
18	16061	406602
19	16715	401178
20	17400	396894
21	18111	393509
22	18926	392528
23	19802	392754
24	20476	389056
25	21207	386626
26	22088	386953
27	22750	383506
28	23431	380563
29	24331	381198
30	25177	380907
31	26019	380533
32	26678	377538
33	27470	376506
34	28320	376262
35	29000	373785
36	29808	373004
37	30698	373234
38	31570	373180
39	32457	373264
40	33386	373764
41	34137	372256
42	35029	372290
43	35969	372778
44	36628	370353
45	37440	369525
46	38238	368549
47	39005	367305
48	39795	366285
49	40546	364918
50	41222	362918
51	42003	361879
52	42712	360234
53	43451	358878
54	44288	358334
55	45177	358189
56	45905	356770
57	46637	355409
58	47426	354490
59	48138	353015
60	48970	352423
61	49685	351004
62	50518	350421
63	51316	349595
64	52198	349326
65	52941	348129
66	53926	348511
67	54688	347431
68	55504	346704
69	56395	346431
70	57332	346415
71	58256	346299
72	59156	346027
73	60113	346060
74	60991	345618
75	61836	344984
76	62757	344761
77	63476	343426
78	64184	342048
79	64949	340983
80	65913	340957
81	66747	340251
82	67714	340204
83	68453	339009
84	69198	337850
85	70028	337114
86	70860	336385
87	71584	335145
88	72413	334402
89	73372	334252
90	74228	333622
91	75107	333085
92	76153	333273
93	77150	333222
94	78005	332551
95	78764	331468
96	79652	330929
97	80548	330413
98	81435	329855
99	82322	329291
100	83231	328805
101	84073	328052
102	84693	326438
103	85426	325277
104	86234	324404
105	87077	323665
106	87759	322332
107	88602	321594
108	89520	321124
109	90484	320808
110	91287	319917
111	92117	319122
